smiles,Elongation_at_Break_percentage
CC(C([*])=O)O[*],19.99913616
COC(C([*])(C[*])C)=O,57.56869565
[*]OCCCCCC([*])=O,387.82
[*]CC(C)[*],136.0394578
[*]CC([*])O,156.9150872
[*]C(F)(C[*])F,70.28669903
CC(C([*])=O)O[*],31.68030488
[*][Si](C)(O[*])C,221.8134375
[*]C(C[*])C1=CC=CC=C1,28.4137037
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,101.9562745
[*]CCO[*],141.3910345
[*]CC(C(NC(C)C)=O)[*],134.3111111
[*]C(C[*])C1=CC=CC=C1,37.61571429
[*]CC[*],233.4104082
[*]CCO[*],107.6797727
[*]C(C[*])C1=CC=CC=C1,359.7359459
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,47.11032258
[*]CC(Cl)[*],217.5994667
[*]CC(C)[*],49.83948718
[*]CC([*])(C=C)C,15.28428814
FC(F)(C(F)([*])F)[*],138.5804762
[*]OCCOC(CCC([*])=O)=O,40.86571429
[*]NCCCCCC([*])=O,95.32325581
[*]CC([*])C#N,25.15680851
[*]CC(C(NC(C)C)=O)[*],364.7333333
CC(CC([*])=O)O[*],7.871818182
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],25.17533333
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,5.173636364
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],45.47636364
[*]CC(N1CCCC1=O)[*],27.47
[*]C1=C(CCCCCC)C=C([*])S1,175.0
[*]CC([*])C(O)=O,382.21875
[*]CC[*],437.716081
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,10.62222892
[*]OCCCCOC(C1=CC=C(C([*])=O)C=C1)=O,58.98537037
[*]NCCCCCC([*])=O,74.31913043
[*]CCN[*],20.77294118
[*]NC1=CC=C([*])C=C1,81.85470588
[*]OCCCCOC(CCC([*])=O)=O,190.5156716
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,4.448888889
[*]C1=CC=C(S[*])C=C1,10.1225
[*]CC[*],372.1413043
O=C(O[*])C1=CC(C=CC(C(OCC[*])=O)=C2)=C2C=C1,8.665384615
[*]C1=CC(C)=C(O[*])C(C)=C1,11.55
[*]CC(C1=CC=C(S(O)(=O)=O)C=C1)[*],44.48
[*]CC(C)[*],389.868
[*]CC[*],219.1094444
[*]C1=CC=C([*])N1,38.1075
[*]C(C1=CC=C(C(OCCCO[*])=O)C=C1)=O,35.87272727
COC(C([*])(C[*])C)=O,74.1
[*]CC(C(NC(C)C)=O)[*],1212.0
[*]C1=C2C(OCCO2)=C([*])S1,21.0
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,20.375
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],22.75818182
OC1C([*])C(CO)OC(O[*])C1O,74.46702703
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],26.65813953
[*]CC([*])OC(C)=O,228.0
[*]CC(C(NC(C)C)=O)[*],134.3111111
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,36.88857143
[*]CC(C(OCCCC)=O)[*],205.8818182
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,11.12540984
[*]CC([*])(C=C)C,493.8422857
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,185.9136364
[*]C/C=C/C[*],117.6875
[*][Si](C)(O[*])C,572.3333333
[*]OCCCCCC([*])=O,248.5
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],8.043076923
[*]OCCCOC([*])=O,542.126
CC(C([*])=O)O[*],69.975
[*]CC(C(NC(C)C)=O)[*],1212.0
[*]NCCCCCC([*])=O,10.58055556
[*]NCCCCCCCCCCCC([*])=O,206.6090909
[*]CC(C(N)=O)[*],780.7861538
[*]CC(C)(C(OCCCC)=O)[*],122.2
[*]CC(C(N)=O)[*],755.80625
CC(C([*])=O)O[*],34.2625
[*]NCCCCCC([*])=O,78.16166667
[*]CC([*])O,185.975
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,33.21666667
[*]CC[*],238.3380952
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,36.88857143
[*]NC1=CC=C([*])C=C1,544.97
COC(C([*])(C[*])C)=O,26.03333333
[*]C/C=C/C[*],223.5428571
[*]C([H])(O[*])[H],46.11666667
[*]C(C[*])C1=CC=CC=C1,16.88666667
[*]NCCCCCC([*])=O,11.244
[*]CC(C(N)=O)[*],1232.222222
[*]CC(C)(C(O)=O)[*],199.6666667
[*]NCCCCCC([*])=O,33.98333333
[*]CC(C(NC(C)C)=O)[*],399.1666667
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,5.5775
[*]CC(C)(C(OCCO)=O)[*],173.8333333
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,20.66666667
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,351.2956522
[*]CC(O)[*],210.8725
[*]CC(C(NC(C)C)=O)[*],330.0
[*]NCCCCCCCCCCC([*])=O,215.9
[*]C(CC(O[*])C)=O,274.04
[*]CC(C)[*],287.0
[*]C(CO[*])=O,37.25
[*]CCO[*],549.0636364
FC(F)(C(F)([*])F)[*],400.0
[*]C1=CC=C([*])N1,188.8666667
[*]CC([*])O,280.2242857
[*]OC(CC([*])=O)C,14.33333333
[*]CC([*])C#N,70.8
[*]CC(C#N)[*],70.8
[*]OCC[*],387.0833333
[*]C(C)C(O[*])=O,68.05263158
[*]CC(C)([*])C,150.625
[*]C1=CC=C([*])S1,106.5
CC(C)([*])C1=CC=C(OCN(C(C=C4)=CC=C4OC3=CC=C(N5COC(C=CC([*])=C6)=C6C5)C=C3)C2)C2=C1,7.2
[*]OC(C([*])=O)C,48.83818182
[*]CCO[*],144.5
[*]CC(C(O)=O)[*],896.4
[*]OCC(C)O[*],265.4
[*]OCC[*],2.27
[*]OCCCCCC([*])=O,800.0
[*]OC1=CC=C(C(C2=CC=C(C(C3=CC=C([*])C=C3)=O)C=C2)=O)C=C1,11.5
[*]C2=NC1=CC(N=C(C4=CC=C([*])C=C4)O3)=C3C=C1O2,4.09
[*]C(C)C[*],49.83948718
[*]OC(C1=CC=C(C(OCC[*])=O)O1)=O,14.215
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,200.0
[*]C(C([H])([*])[H])([H])C1=CC=CC=C1,37.61571429
[*]CCCCO[*],562.7125
[*]NCCCCCC([*])=O,79.2
O=C([*])C1=CC=C(C(OCCCO[*])=O)O1,28.64545455
[H][C@@]1(C[*])C([H])(CO)O[C@](CO[*])([H])[C@@]([H])(NC(C)=O)[C@@](O)1[H],17.05
[*]C([H])([H])C([H])([H])[*],215.2
[*]C/C(C)=C/C[*],968.0
[*]CC(F)([*])F,39.0
[*]CC(C(NC(C)C)=O)[*],751.0
[*]OC([H])(C)C([*])=O,5.933333333
[*]N(CCCCCC([*])=O)[H],51.77142857
[*]CC(C(N(C)C)=O)[*],897.0
[*]C([H])([H])C(F)([*])F,674.3333333
[*]C(C)C(O[*])=O,34.2625
C/C(C[*])=C(C[*])\[H],271.75
OC1=C(O)C([*])=C2C(NC=C2)=C1[*],176.75
[*]C([H])([H])C(Cl)([H])[*],606.7666667
[*]C(C1=CC=CC=C1)C[*],352.5
C[Si]([*])(CCCC#N)O[*],7.215
[*]CC(C(NC(C)C)=O)[*],134.3111111
[*]C(F)(C(F)(C(F)(C(F)([*])F)OC(F)(F)C(F)(F)C(F)(F)F)F)F,233.3333333
[*]CC(CC(C)C)[*],417.0
[*]CCCCO[*],545.1285714
[*]CC(C(NC(C)C)=O)[*],364.7333333
[*]N([H])CCCCCC([*])=O,27.775
[*]C([H])([H])C([H])([H])[*],76.56666667
[*]OCCCCCC([*])=O,248.5
