smiles,Flexural_Strength_MPa
CC(C([*])=O)O[*],86.44
COC(C([*])(C[*])C)=O,77.52104167
[*]OCCCCCC([*])=O,26.75454545
[*]CC(C)[*],44.54384848
[*]CC([*])O,16.46666667
[*]C(F)(C[*])F,58.15
CC(C([*])=O)O[*],109.0714286
[*][Si](C)(O[*])C,1.90275
[*]C(C[*])C1=CC=CC=C1,61.89428571
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,60.1125
[*]C(C[*])C1=CC=CC=C1,35.718
[*]CC[*],28.81454545
[*]CCO[*],0.828333333
[*]C(C[*])C1=CC=CC=C1,85.5
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,75.9362069
[*]CC(Cl)[*],62.37888889
[*]CC(C)[*],47.84983871
[*]CC([*])(C=C)C,122.8642857
FC(F)(C(F)([*])F)[*],29.37285714
[*]OCCOC(CCC([*])=O)=O,107.8111111
[*]NCCCCCC([*])=O,108.4666667
[*]CC([*])C#N,402.0
CC(CC([*])=O)O[*],28.54666667
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],31.575
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,104.6156557
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],67.502
[*]CC(N1CCCC1=O)[*],5500.0
[*]CC([*])C(O)=O,64.94444444
[*]CC[*],32.2498
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,146.6388889
[*]OCCCCOC(C1=CC=C(C([*])=O)C=C1)=O,73.935
[*]NCCCCCC([*])=O,114.64
[*]CCN[*],29.51
[*]NC1=CC=C([*])C=C1,1068.0
[*]OCCCCOC(CCC([*])=O)=O,34.33791667
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,123.8159259
[*]C1=CC=C(S[*])C=C1,70.99322222
[*]CC[*],9.486666667
O=C(O[*])C1=CC(C=CC(C(OCC[*])=O)=C2)=C2C=C1,154.1666667
[*]C1=CC(C)=C(O[*])C(C)=C1,76.43333333
[*]CC(C)[*],33.29
[*]CC[*],47.8
[*]C1=CC=C([*])N1,79.9
[*]C(C1=CC=C(C(OCCCO[*])=O)C=C1)=O,78.6
COC(C([*])(C[*])C)=O,108.0
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,110.48
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],11.158
OC1C([*])C(CO)OC(O[*])C1O,45.695
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],36.0
[*]CC([*])OC(C)=O,122.0
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,151.85
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,52.05013158
[*]C/C=C/C[*],24.85
[*]OCCCCCC([*])=O,51.66666667
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],393.0
CC(C([*])=O)O[*],106.0
[*]NCCCCCC([*])=O,72.775
[*]NCCCCCCCCCCCC([*])=O,58.0
[*]CC(C(N)=O)[*],86.8
CC(C([*])=O)O[*],112.0
[*]NCCCCCC([*])=O,49.34
[*]CC([*])O,18.15
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,54.0
[*]CC[*],38.65444444
[*]NC1=CC=C([*])C=C1,457.0
COC(C([*])(C[*])C)=O,16.87
[*]C/C=C/C[*],2555.0
[*]C([H])(O[*])[H],60.5
[*]C(C[*])C1=CC=CC=C1,27.83333333
[*]NCCCCCC([*])=O,1952.0
[*]NCCCCCC([*])=O,74.275
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,71.696
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,1664.0
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,119.5
[*]C(CO[*])=O,186.3333333
[*]CC(C)(C(OCC)=O)[*],65.0
[*]CCO[*],65.5
FC(F)(C(F)([*])F)[*],12.5
[*]CC([*])O,16.9
[*]OCC[*],141.0
[*]C(C)C(O[*])=O,238.0
[*]CC(C)([*])C,77.5
CC(C)([*])C1=CC=C(OCN(C(C=C4)=CC=C4OC3=CC=C(N5COC(C=CC([*])=C6)=C6C5)C=C3)C2)C2=C1,115.81
[*]OC(C([*])=O)C,80.51571429
[*][Si](C)(C)O[*],0.2
[*]OCC[*],96.0
[*]OC1=CC=C(C(C2=CC=C(C(C3=CC=C([*])C=C3)=O)C=C2)=O)C=C1,118.9566667
[*]C2=NC1=CC(N=C(C4=CC=C([*])C=C4)O3)=C3C=C1O2,247.0
[*]C(C)C[*],47.84983871
[*]C(C([H])([*])[H])([H])C1=CC=CC=C1,35.718
[*]NCCCCCC([*])=O,44.725
O=C([*])C1=CC=C(C(OCCCO[*])=O)O1,51.0
[*]C([H])([H])C([H])([H])[*],98.03166667
[*]CC(F)([*])F,50.85
[*]C([H])([H])C(F)([*])F,50.85
[*]C(C)C(O[*])=O,112.0
C/C(C[*])=C(C[*])\[H],24.63333333
[*]C(F)(C(F)(C(F)(C(F)([*])F)OC(F)(F)C(F)(F)C(F)(F)F)F)F,60.2
[*]OC1=CC=C(S(=O)(C2=CC=C([*])C=C2)=O)C=C1,742.5
[*]C(C[*])C1=CC=CC=C1,34.105
[*]OCCCCCC([*])=O,51.66666667
