smiles,Td_K
CC(C([*])=O)O[*],614.5552932
COC(C([*])(C[*])C)=O,596.0484058
[*]OCCCCCC([*])=O,627.9720588
[*]CC(C)[*],668.9719355
[*]CC([*])O,560.1714583
[*]C(F)(C[*])F,692.2809524
CC(C([*])=O)O[*],559.4827586
[*][Si](C)(O[*])C,658.3881159
[*]C(C[*])C1=CC=CC=C1,657.1369916
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,647.7791837
[*]CCO[*],584.3322785
[*]CC(C(NC(C)C)=O)[*],617.3063636
[*]C(C[*])C1=CC=CC=C1,627.6646939
[*]CC[*],665.4068182
[*]CCO[*],609.6155844
[*]C(C[*])C1=CC=CC=C1,606.3833333
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,713.6141791
[*]CC(Cl)[*],554.9093976
[*]CC(C)[*],577.6092593
[*]CC([*])(C=C)C,779.3637594
FC(F)(C(F)([*])F)[*],725.480303
[*]OCCOC(CCC([*])=O)=O,684.5137255
[*]NCCCCCC([*])=O,693.1585106
[*]CC([*])C#N,576.34125
[*]CC(C(NC(C)C)=O)[*],658.8166667
CC(CC([*])=O)O[*],534.539011
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],561.2761511
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,619.3684615
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],574.5608247
[*]CC(N1CCCC1=O)[*],659.1060714
[*]C1=C(CCCCCC)C=C([*])S1,638.8882353
[*]CC([*])C(O)=O,592.948
[*]CC[*],712.0138596
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,743.3183871
[*]OCCCCOC(C1=CC=C(C([*])=O)C=C1)=O,624.4442857
[*]NCCCCCC([*])=O,613.8209091
[*]CCN[*],655.3469388
[*]NC1=CC=C([*])C=C1,647.5332634
[*]OCCCCOC(CCC([*])=O)=O,634.0678571
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,643.7611111
[*]C1=CC=C(S[*])C=C1,685.280303
[*]CC[*],686.2020513
O=C(O[*])C1=CC(C=CC(C(OCC[*])=O)=C2)=C2C=C1,757.3852941
[*]C1=CC(C)=C(O[*])C(C)=C1,666.765
[*]CC(C1=CC=C(S(O)(=O)=O)C=C1)[*],607.275
[*]CC(C)[*],613.5744444
[*]CC[*],722.9833333
[*]C1=CC=C([*])N1,590.2752381
[*]C(C1=CC=C(C(OCCCO[*])=O)C=C1)=O,632.7409091
COC(C([*])(C[*])C)=O,602.86875
[*]CC(C(NC(C)C)=O)[*],633.15
[*]C1=C2C(OCCO2)=C([*])S1,613.7958333
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,547.93125
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],613.5121053
OC1C([*])C(CO)OC(O[*])C1O,572.8324138
[*]CC(C)(C(OCCN(C)C)=O)[*],540.425
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],546.1640476
[*]CC([*])OC(C)=O,614.1236842
[*]CC(C(NC(C)C)=O)[*],617.3063636
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,772.065
[*]CC(C(OCCCC)=O)[*],600.91
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,735.5878099
[*]CC([*])(C=C)C,647.0166667
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,586.3158491
[*]C/C=C/C[*],621.1404762
[*][Si](C)(O[*])C,676.7214286
[*]OCCCCCC([*])=O,604.025
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],578.2117647
[*]OCCCOC([*])=O,544.3227273
CC(C([*])=O)O[*],483.8642857
[*]CC(C(NC(C)C)=O)[*],633.15
[*]NCCCCCC([*])=O,665.3428571
[*]NCCCCCCCCCCCC([*])=O,634.8485714
[*]CC(C(N)=O)[*],630.594
[*]CC(C)(C(OCCCC)=O)[*],576.33
[*]CC(C(N)=O)[*],610.6115385
CC(C([*])=O)O[*],556.8961538
[*]NCCCCCC([*])=O,653.9572
[*]CC([*])O,536.8642857
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,587.8166667
[*]CC[*],708.125
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,772.065
[*]NC1=CC=C([*])C=C1,625.1282609
COC(C([*])(C[*])C)=O,578.1277778
[*]C/C=C/C[*],580.15
[*]C([H])(O[*])[H],583.962
[*]C(C[*])C1=CC=CC=C1,599.35
[*]NCCCCCC([*])=O,683.8076271
[*]CC(C(N)=O)[*],584.85
[*]CC(C)(C(O)=O)[*],611.8666667
[*]NCCCCCC([*])=O,682.65
[*]CC(C(NC(C)C)=O)[*],435.15
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,572.4309524
[*]CC(C)(C(OCCO)=O)[*],565.61875
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,658.3038462
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,608.1928571
[*]CC(O)[*],565.84
[*]CC(C(NC(C)C)=O)[*],623.8166667
[*]NCCCCCCCCCCC([*])=O,661.7055556
[*]C(CC(O[*])C)=O,564.5252174
[*]CC(C)[*],610.4833333
[*]C(CO[*])=O,534.8833333
[*]CC(C)(C(OCC)=O)[*],558.0590909
FC(F)(C(F)([*])F)[*],579.15
[*]CCO[*],580.25
FC(F)(C(F)([*])F)[*],602.55
[*]C1=CC=C([*])N1,547.5785714
[*]CC([*])O,593.0071429
[*]OC(CC([*])=O)C,578.25
[*]CC([*])C#N,461.4833333
[*]CC(C#N)[*],461.4833333
[*]OCC[*],522.15
[*]C(C)C(O[*])=O,605.95
[*]CC(OC)[*],593.15
[*]CC(C)([*])C,639.9
[*]C(C[*])C1=CC=NC=C1,631.0125
[*]C1=CC=C([*])S1,528.15
[*]C(C(NC(C)C)=O)C[*],633.15
CC(C)([*])C1=CC=C(OCN(C(C=C4)=CC=C4OC3=CC=C(N5COC(C=CC([*])=C6)=C6C5)C=C3)C2)C2=C1,659.9382353
[*]OC(C([*])=O)C,620.9
[*]CCO[*],513.15
[*]CC(C(O)=O)[*],585.15
[*][Si](C)(C)O[*],538.15
[*]OCC(C)O[*],588.15
[*]OCC[*],624.15
[*]OCCCCCC([*])=O,648.15
[*]OC1=CC=C(C(C2=CC=C(C(C3=CC=C([*])C=C3)=O)C=C2)=O)C=C1,718.15
[*]CC(C)(C(OCC1CO1)=O)[*],614.3277778
[*]C(C1=CC=C(C(OCCO[*])=O)C=C1)=O,540.4833333
[*]C2=NC1=CC(N=C(C4=CC=C([*])C=C4)O3)=C3C=C1O2,901.6465517
[*]C(C)C[*],577.6092593
[*]OC(C1=CC=C(C(OCC[*])=O)O1)=O,642.55
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,623.4785714
[*]C(C([H])([*])[H])([H])C1=CC=CC=C1,627.6646939
[*]CCCCO[*],583.15
[*]NCCCCCC([*])=O,733.65
O=C([*])C1=CC=C(C(OCCCO[*])=O)O1,655.9772727
[H][C@@]1(C[*])C([H])(CO)O[C@](CO[*])([H])[C@@]([H])(NC(C)=O)[C@@](O)1[H],622.8766667
[*]C([H])([H])C([H])([H])[*],473.15
[*]C1=C(OC)C=C(/C=C/[*])C(OCC(CC)CCCC)=C1,614.5875
[*]C/C(C)=C/C[*],576.15
[*]CC(F)([*])F,540.15
[*]/C=C/C1=CC=C([*])C=C1,611.15
O=C1CCCCCN1C([*])C[*],701.15
[*]CC(C(NC(C)C)=O)[*],658.15
[*]OC([H])(C)C([*])=O,591.85
[*]C(C[*])N1C3=C(C=CC=C3)C2=C1C=CC=C2,573.75
[*]N(CCCCCC([*])=O)[H],568.15
[*]CC(C(N(C)C)=O)[*],575.25
[*]C([c@@]4ccccc4)C[C@@H]([c@@]3ccccc3)CC(C[C@@H]([c@@]2ccccc2)C[*])[c@@]1ccccc1,588.15
[*]CC(C)(C(OC)=O)[*],639.15
[*]C([H])([H])C(F)([*])F,581.4833333
[*]C(C)C(O[*])=O,556.8961538
C/C(C[*])=C(C[*])\[H],700.8166667
OC1=C(O)C([*])=C2C(NC=C2)=C1[*],563.4833333
[*]C1=CC(CCCCCCCC)=C(C2=C(CCCCCCCC)C=C([*])C=C2)C=C1,673.8166667
[*]C([H])([H])C(Cl)([H])[*],536.7183333
[*]CC(C1=CC=CC=N1)[*],614.15
[*]C(C1=CC=CC=C1)C[*],620.7214286
C[Si]([*])(CCCC#N)O[*],602.15
[*]C(C[*])C1=CC=CC=C1,511.9833333
[*]CC(C(NC(C)C)=O)[*],617.3063636
[*]C(F)(C(F)(C(F)(C(F)([*])F)OC(F)(F)C(F)(F)C(F)(F)F)F)F,610.9
[*]CC(CC(C)C)[*],605.65
[*]CCCCO[*],629.75
[*]OC1=CC=C(S(=O)(C2=CC=C([*])C=C2)=O)C=C1,573.15
[*]CC(C(NC(C)C)=O)[*],658.8166667
[*]CC(C)(C(O)=O)[*],520.04
[*]N([H])CCCCCC([*])=O,790.15
[*]CC(N1C(CCCCC1)=O)[*],719.15
[*]C([H])([H])C([H])([H])[*],463.15
[*]C(C[*])C1=CC=CC=C1,530.1527273
[*]OCCCCCC([*])=O,604.025
