smiles,Dielectric_Constant_Electronic
*C(=O)C(=S)C(=O)c1ccc(*)cc1,4.41
*C(=O)C(=S)C(=O)c1ccc(*)s1,5.54
*C(=O)C(=S)Oc1ccc(*)s1,5.35
*C(=O)C(=S)c1ccc(-c2ccc(*)s2)s1,5.67
*C(=O)CC(=O)c1ccc(*)cc1,3.53
*C(=O)CC(=O)c1ccc(*)s1,3.7
*C(=O)CC(=S)c1ccc(*)s1,3.96
*C(=O)CNc1ccc(*)cc1,3.8
*C(=O)Cc1ccc(-c2ccc(*)cc2)s1,4.21
*C(=O)NC(=O)c1ccc(*)cc1,3.915
*C(=O)NOc1ccc(*)cc1,3.66
*C(=O)NOc1ccc(*)s1,3.87
*C(=O)Nc1ccc(-c2ccc(*)s2)s1,5.73
*C(=O)Nc1cccc(*)c1,3.85
*C(=O)OC(=O)c1ccc(*)cc1,3.49
*C(=O)OC(=O)c1ccc(*)s1,3.54
*C(=O)OC(=S)c1ccc(*)s1,4.28
*C(=O)Oc1ccc(-c2ccc(*)s2)cc1,4.55
*C(=O)c1ccc(*)cc1,3.94
*C(=O)c1ccc(*)s1,4.36
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,4.09
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,5.57
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.26
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,6.66
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,4.63
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)cc1,4.9
*C(=O)c1ccc(C(=O)c2ccc(*)s2)cc1,4.01
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,4.5
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,4.51
*C(=O)c1ccc(Cc2ccc(*)cc2)cc1,3.62
*C(=O)c1ccc(Oc2ccc(*)cc2)cc1,3.68
*C(=O)c1ccc(Oc2ccc(*)s2)cc1,4.01
*C(=S)C(=O)Cc1ccc(*)cc1,4.12
*C(=S)C(=O)Nc1ccc(*)cc1,4.72
*C(=S)C(=O)Oc1ccc(*)cc1,4.04
*C(=S)C(=O)c1ccc(-c2ccc(*)cc2)s1,5.19
*C(=S)C(=O)c1ccc(-c2ccc(*)s2)cc1,5.03
*C(=S)CCc1ccc(*)s1,4.02
*C(=S)COc1ccc(*)s1,4.67
*C(=S)Cc1ccc(-c2ccc(*)s2)s1,4.82
*C(=S)NC(=O)c1ccc(*)cc1,3.88
*C(=S)NC(=S)c1ccc(*)s1,5.54
*C(=S)NOc1ccc(*)s1,4.58
*C(=S)Nc1ccc(-c2ccc(*)cc2)cc1,4.41
*C(=S)OC(=S)c1ccc(*)s1,5.28
*C(=S)Oc1ccc(-c2ccc(*)cc2)cc1,4.18
*C(=S)Oc1ccc(-c2ccc(*)s2)s1,4.98
*C(=S)c1ccc(*)cc1,3.59
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,4.32
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.38
*C(=S)c1ccc(C(=O)c2ccc(*)s2)s1,5.28
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)s1,6.23
*C(=S)c1ccc(Cc2ccc(*)cc2)cc1,3.87
*C(=S)c1ccc(Cc2ccc(C(=S)c3ccc(Cc4ccc(*)cc4)s3)cc2)s1,3.87
*C(=S)c1ccc(Oc2ccc(*)cc2)cc1,4.35
*C(F)C(*)(F)F,2.5
*CC(*)(F)F,2.54
*CC(*)=O,3.09
*CC(*)=S,3.74
*CC(*)C,2.59
*CC(*)C#N,2.73
*CC(*)F,2.66
*CC(*)c1ccccc1,2.64
*CC(*)c1ccccn1,2.93
*CC(=O)C(=S)C(*)=O,4.8
*CC(=O)C(=S)N*,4.09
*CC(=O)C(=S)c1ccc(*)s1,4.21
*CC(=O)CN*,2.96
*CC(=O)Cc1ccc(*)cc1,3.11
*CC(=O)Cc1ccc(*)s1,3.24
*CC(=O)NC(*)=O,3.19
*CC(=O)NC(*)=S,3.71
*CC(=O)NO*,3.04
*CC(=O)Nc1ccc(*)cc1,3.35
*CC(=O)Nc1ccc(*)s1,3.53
*CC(=O)OC(*)=O,2.9
*CC(=O)OC(*)=S,3.07
*CC(=O)Oc1ccc(*)cc1,3.02
*CC(=O)c1ccc(-c2ccc(*)cc2)cc1,3.63
*CC(=O)c1ccc(-c2ccc(*)cc2)s1,4.07
*CC(=O)c1ccc(-c2ccc(*)s2)s1,4.28
*CC(=O)c1ccc(C(=O)N*)s1,4.14
*CC(=O)c1ccc(C(=S)N*)s1,4.98
*CC(=O)c1ccc(N*)cc1,3.82
*CC(=S)C(=O)N*,3.99
*CC(=S)C(=O)c1ccc(*)s1,3.87
*CC(=S)CC(*)=O,3.3
*CC(=S)CN*,3.57
*CC(=S)Cc1ccc(*)s1,3.41
*CC(=S)NC(*)=S,4.2
*CC(=S)NO*,3.78
*CC(=S)Nc1ccc(*)cc1,3.67
*CC(=S)OC(*)=S,3.81
*CC(=S)ON*,3.47
*CC(=S)Oc1ccc(*)s1,3.79
*CC(=S)c1ccc(-c2ccc(*)cc2)cc1,4.2
*CC(=S)c1ccc(-c2ccc(*)cc2)s1,4.33
*CC(=S)c1ccc(-c2ccc(*)s2)cc1,4.4
*CC(O*)C(F)(F)F,2.51
*CC*,2.7
*CC1SSC(*)C1=O,4.82
*CCC(=O)O*,2.77
*CCC(=O)c1ccc(*)cc1,3.33
*CCC(=S)C(*)=O,3.85
*CCC(=S)c1ccc(*)cc1,3.68
*CCC(F)(F)C(*)(F)F,2.49
*CCC(O*)(C(F)(F)F)C(F)(F)F,2.47
*CCCC(*)=O,2.74
*CCCC(*)=S,3.13
*CCCCC(=O)OCCOC(*)=O,2.75
*CCCCCCC(=O)OCCOC(*)=O,2.75
*CCCCCCCCC(=O)O*,2.66
*CCCCCOC(*)=O,2.7
*CCCCCOC(=O)Nc1cc(NC(=O)O*)ccc1C,2.97
*CCCNC(=S)Nc1ccc(NC(=S)NCCC*)cc1,3.49
*CCCO*,2.72
*CCCSCC*,2.9
*CCCc1ccc(*)cc1,3.06
*CCCc1ccc(*)s1,3.08
*CCNC(*)=S,3.47
*CCNC*,2.81
*CCNO*,2.9
*CCNc1ccc(*)s1,3.31
*CCO*,2.68
*CCOC(=O)c1ccc(C(=O)OCC*)cc1,3.1
*CCOCCOC(=O)Nc1cc(NC(=O)O*)ccc1C,3.0
*CCOc1ccc(*)cc1,3.19
*CCc1ccc(*)cc1,3.87
*CCc1ccc(C(*)=O)s1,3.52
*CCc1ccc(O*)s1,3.24
*CN*,2.98
*CNC(*)=O,3.01
*CNC(=O)c1ccc(*)cc1,3.3
*CNC(=O)c1ccc(*)s1,3.44
*CNC(=S)N*,3.49
*CNC(=S)c1ccc(*)cc1,3.58
*CNC(=S)c1ccc(*)s1,3.87
*CNCO*,2.79
*CNCc1ccc(*)cc1,3.15
*CNCc1ccc(*)s1,3.17
*CNON*,3.05
*CNc1ccc(-c2ccc(*)cc2)cc1,3.785
*CNc1ccc(-c2ccc(*)cc2)s1,3.77
*CNc1ccc(-c2ccc(*)s2)cc1,3.82
*CNc1ccc(-c2ccc(*)s2)s1,3.98
*CO*,2.725
*COC(=O)C(*)=S,3.69
*COC(=O)O*,2.75
*COC(=O)c1ccc(*)cc1,3.4
*COC(=O)c1ccc(C(=O)OC*)cc1,3.27
*COC(=S)C(*)=O,3.94
*COC(=S)N*,3.49
*COC(=S)O*,3.41
*COCC(*)=O,2.86
*COCC(*)=S,3.55
*CONO*,3.03
*CONc1ccc(*)s1,3.54
*COc1ccc(-c2ccc(*)cc2)cc1,3.48
*COc1ccc(-c2ccc(*)s2)s1,3.82
*COc1ccc(O*)cc1,3.2
*Cc1ccc(*)cc1,3.31
*Cc1ccc(*)s1,3.38
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,3.58
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,3.89
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,4.07
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,3.91
*Cc1ccc(-c2ccc(C*)cc2)cc1,3.5
*Cc1ccc(-c2ccc(C*)s2)cc1,3.65
*Cc1ccc(-c2ccc(O*)cc2)cc1,3.68
*Cc1ccc(C(=O)C(*)=S)cc1,3.78
*Cc1ccc(C(=O)O*)s1,3.45
*Cc1ccc(C(=O)c2ccc(*)s2)cc1,3.61
*Cc1ccc(C(=O)c2ccc(*)s2)s1,4.09
*Cc1ccc(C(=S)c2ccc(*)s2)s1,4.03
*Cc1ccc(CC(*)=S)cc1,3.46
*Cc1ccc(CO*)cc1,3.16
*Cc1ccc(Cc2ccc(*)s2)cc1,3.3
*Cc1ccc(NC(=S)Nc2ccc(NC(=S)Nc3ccc(*)cc3)cc2)cc1,3.94
*Cc1ccc(Nc2ccc(*)s2)s1,3.52
*Cc1ccc(Oc2ccc(*)s2)s1,3.38
*NC(*)=O,3.51
*NC(*)=S,5.08
*NC(=O)C(=S)C(*)=O,5.12
*NC(=O)Nc1ccc(*)cc1,3.89
*NC(=O)Nc1ccc(*)s1,4.03
*NC(=O)c1ccc(-c2ccc(*)cc2)cc1,4.33
*NC(=O)c1ccc(-c2ccc(*)s2)cc1,4.54
*NC(=S)C(=O)c1ccc(*)cc1,4.91
*NC(=S)Cc1ccc(*)s1,3.93
*NC(=S)NC(*)=O,4.42
*NC(=S)Nc1ccc(*)cc1,4.39
*NC(=S)Nc1ccc(*)s1,4.8
*NC(=S)c1ccc(-c2ccc(*)cc2)s1,6.15
*NC(=S)c1ccc(-c2ccc(*)s2)cc1,4.85
*NCC(=O)c1ccc(*)cc1,3.91
*NCC(=O)c1ccc(*)s1,4.08
*NCC(=S)c1ccc(*)cc1,4.55
*NCC(=S)c1ccc(*)s1,5.07
*NCCc1ccc(*)cc1,3.17
*NCNc1ccc(*)cc1,3.47
*NCNc1ccc(*)s1,3.44
*NOCc1ccc(*)cc1,3.37
*NONC(*)=O,3.52
*NONC(*)=S,4.27
*NOc1ccc(-c2ccc(*)cc2)cc1,3.94
*Nc1ccc(*)cc1,4.51
*Nc1ccc(*)s1,3.79
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,4.0
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,5.47
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.5
*Nc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,6.16
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,4.4
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,6.51
*Nc1ccc(-c2ccc(C(*)=O)s2)cc1,5.08
*Nc1ccc(C(*)=S)cc1,5.4
*Nc1ccc(C(=O)c2ccc(*)s2)cc1,4.78
*Nc1ccc(C(=S)c2ccc(*)cc2)s1,5.29
*Nc1ccc(C(=S)c2ccc(*)s2)s1,5.25
*Nc1ccc(Cc2ccc(*)cc2)cc1,3.56
*Nc1ccc(Cc2ccc(*)cc2)s1,3.59
*Nc1ccc(Cc2ccc(NC(*)=S)cc2)cc1,3.67
*Nc1ccc(Cc2ccc(NC(=S)Nc3ccc(NC(=S)Nc4ccc(Cc5ccc(NC(=S)Nc6ccc(NC(*)=S)cc6)cc5)cc4)cc3)cc2)cc1,4.08
*Nc1ccc(Nc2ccc(*)s2)cc1,3.96
*Nc1ccc(Oc2ccc(*)s2)s1,3.61
*OC(*)=O,2.69
*OC(=O)C(=S)c1ccc(*)s1,4.39
*OC(=O)Cc1ccc(*)s1,3.4
*OC(=O)Nc1ccc(*)cc1,3.54
*OC(=O)OC(*)=S,3.03
*OC(=O)Oc1ccc(*)cc1,3.2
*OC(=O)Oc1ccc(*)s1,3.5
*OC(=O)c1ccc(-c2ccc(*)cc2)cc1,3.62
*OC(=O)c1ccc(-c2ccc(*)s2)cc1,3.91
*OC(=O)c1ccc(-c2ccc(*)s2)s1,4.21
*OC(=O)c1ccc(C(*)=S)cc1,4.16
*OC(=S)C(*)=O,5.29
*OC(=S)C(=O)c1ccc(*)cc1,4.31
*OC(=S)NC(*)=O,3.79
*OC(=S)NC(*)=S,4.65
*OC(=S)Nc1ccc(*)s1,4.16
*OCC(=O)OCC(*)=O,2.79
*OCC(=O)c1ccc(*)cc1,3.47
*OCC(=S)c1ccc(*)cc1,3.95
*OCCC(*)=S,3.32
*OCNc1ccc(*)cc1,3.39
*OCNc1ccc(*)s1,3.42
*OCOc1ccc(*)s1,3.19
*OCc1ccc(-c2ccc(*)s2)cc1,3.76
*OCc1ccc(C(*)=S)s1,4.09
*OCc1ccc(Cc2ccc(C(*)=S)cc2)cc1,3.58
*ONC(=O)C(*)=S,4.48
*ONC(=S)C(*)=O,4.56
*ONC(=S)c1ccc(*)cc1,3.94
*ONCc1ccc(*)cc1,3.35
*ONCc1ccc(*)s1,3.44
*ONOC(*)=O,3.06
*ONOC(*)=S,3.77
*ONOc1ccc(*)cc1,3.49
*ONc1ccc(C(*)=O)cc1,3.61
*O[C@@H]1[C@@H](O)[C@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](O[C@@H]3[C@@H](O)[C@H](O)[C@@H](O[C@@H]4[C@@H](O)[C@H](O)[C@@H](*)O[C@H]4CO)O[C@H]3CO)O[C@H]2CO)O[C@H]1CO,2.85
*Oc1ccc(*)cc1,3.48
*Oc1ccc(*)s1,3.49
*Oc1ccc(-c2ccc(*)s2)cc1,4.52
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,3.62
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,4.72
*Oc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,4.78
*Oc1ccc(-c2ccc(C(*)=S)s2)cc1,4.9
*Oc1ccc(C(=O)c2ccc(*)s2)s1,4.17
*Oc1ccc(C(=S)c2ccc(*)cc2)s1,4.02
*Oc1ccc(C(=S)c2ccc(*)s2)s1,4.23
*Oc1ccc(CC(*)=S)cc1,3.525
*Oc1ccc(Cc2ccc(*)cc2)cc1,3.25
*Oc1ccc(Cc2ccc(*)cc2)s1,3.35
*Oc1ccc(NC(*)=S)cc1,3.81
*Oc1ccc(NC(=S)Nc2ccc(NC(=S)Nc3ccc(*)cc3)cc2)cc1,3.82
*Oc1ccc(Nc2ccc(*)cc2)cc1,3.72
*Oc1ccc(Nc2ccc(*)s2)cc1,3.64
*Oc1ccc(OC(*)=S)cc1,3.53
*Oc1ccc(OC(*)=S)s1,3.79
*Oc1ccc(Oc2ccc(*)s2)cc1,3.43
*SC(=S)c1ccc(C(=S)OC(=S)c2ccc(C(*)=O)cc2)cc1,4.66
*Sc1ccc(*)cc1,3.92
*c1ccc(*)cc1,4.4
*c1ccc(-c2ccc(*)s2)cc1,5.565
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)cc2)cc1,5.28
*c1ccc(-c2ccc(Cc3ccc(*)s3)s2)cc1,3.81
*c1ccc(C(=S)c2ccc(-c3ccc(*)cc3)s2)cc1,6.26
*c1ccc(C2CC(*)SS2)s1,6.0
*c1ccc(OCc2ccc(*)s2)cc1,3.75
*c1ccc(Oc2ccc(*)s2)s1,5.17
*c1ccc(Oc2ccc(-c3ccc(*)cc3)s2)cc1,4.64
*c1ccc2nc(*)oc2c1,4.48
*c1ccc2nc(*)sc2c1,5.46
*c1cccc(*)n1,3.98
*c1nc2cc3oc(*)nc3cc2o1,5.42
