smiles,Dielectric_Constant_Ionic
*C(=O)C(=S)C(=O)c1ccc(*)cc1,0.621
*C(=O)C(=S)C(=O)c1ccc(*)s1,1.15
*C(=O)C(=S)Oc1ccc(*)s1,0.972
*C(=O)C(=S)c1ccc(-c2ccc(*)s2)s1,0.925
*C(=O)CC(=O)c1ccc(*)cc1,0.732
*C(=O)CC(=O)c1ccc(*)s1,0.693
*C(=O)CC(=S)c1ccc(*)s1,0.6835
*C(=O)CNc1ccc(*)cc1,1.04
*C(=O)Cc1ccc(-c2ccc(*)cc2)s1,0.542
*C(=O)NC(=O)c1ccc(*)cc1,1.595
*C(=O)NOc1ccc(*)cc1,0.708
*C(=O)NOc1ccc(*)s1,1.04
*C(=O)Nc1ccc(-c2ccc(*)s2)s1,1.2
*C(=O)Nc1cccc(*)c1,0.605
*C(=O)OC(=O)c1ccc(*)cc1,1.86
*C(=O)OC(=O)c1ccc(*)s1,1.08
*C(=O)OC(=S)c1ccc(*)s1,1.34
*C(=O)Oc1ccc(-c2ccc(*)s2)cc1,0.936
*C(=O)c1ccc(*)cc1,0.644
*C(=O)c1ccc(*)s1,0.908
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,0.406
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,0.645
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,0.557
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,1.03
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,0.6
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)cc1,0.672
*C(=O)c1ccc(C(=O)c2ccc(*)s2)cc1,0.818
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,0.458
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,0.6
*C(=O)c1ccc(Cc2ccc(*)cc2)cc1,0.334
*C(=O)c1ccc(Oc2ccc(*)cc2)cc1,0.584
*C(=O)c1ccc(Oc2ccc(*)s2)cc1,0.805
*C(=S)C(=O)Cc1ccc(*)cc1,0.586
*C(=S)C(=O)Nc1ccc(*)cc1,1.45
*C(=S)C(=O)Oc1ccc(*)cc1,1.63
*C(=S)C(=O)c1ccc(-c2ccc(*)cc2)s1,0.827
*C(=S)C(=O)c1ccc(-c2ccc(*)s2)cc1,0.817
*C(=S)CCc1ccc(*)s1,0.381
*C(=S)COc1ccc(*)s1,0.874
*C(=S)Cc1ccc(-c2ccc(*)s2)s1,0.526
*C(=S)NC(=O)c1ccc(*)cc1,1.22
*C(=S)NC(=S)c1ccc(*)s1,0.944
*C(=S)NOc1ccc(*)s1,1.05
*C(=S)Nc1ccc(-c2ccc(*)cc2)cc1,0.419
*C(=S)OC(=S)c1ccc(*)s1,0.95
*C(=S)Oc1ccc(-c2ccc(*)cc2)cc1,0.394
*C(=S)Oc1ccc(-c2ccc(*)s2)s1,0.937
*C(=S)c1ccc(*)cc1,0.21
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,0.272
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,0.564
*C(=S)c1ccc(C(=O)c2ccc(*)s2)s1,0.861
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)s1,0.625
*C(=S)c1ccc(Cc2ccc(*)cc2)cc1,0.226
*C(=S)c1ccc(Cc2ccc(C(=S)c3ccc(Cc4ccc(*)cc4)s3)cc2)s1,0.307
*C(=S)c1ccc(Oc2ccc(*)cc2)cc1,0.643
*C(F)C(*)(F)F,0.581
*CC(*)(F)F,0.724
*CC(*)=O,0.775
*CC(*)=S,0.215
*CC(*)C,0.0247
*CC(*)C#N,0.501
*CC(*)F,0.563
*CC(*)c1ccccc1,0.0772
*CC(*)c1ccccn1,0.137
*CC(=O)C(=S)C(*)=O,1.38
*CC(=O)C(=S)N*,1.11
*CC(=O)C(=S)c1ccc(*)s1,0.603
*CC(=O)CN*,0.566
*CC(=O)Cc1ccc(*)cc1,0.417
*CC(=O)Cc1ccc(*)s1,0.375
*CC(=O)NC(*)=O,1.25
*CC(=O)NC(*)=S,0.777
*CC(=O)NO*,0.894
*CC(=O)Nc1ccc(*)cc1,0.607
*CC(=O)Nc1ccc(*)s1,0.555
*CC(=O)OC(*)=O,1.08
*CC(=O)OC(*)=S,0.82
*CC(=O)Oc1ccc(*)cc1,0.552
*CC(=O)c1ccc(-c2ccc(*)cc2)cc1,0.445
*CC(=O)c1ccc(-c2ccc(*)cc2)s1,0.65
*CC(=O)c1ccc(-c2ccc(*)s2)s1,0.581
*CC(=O)c1ccc(C(=O)N*)s1,1.24
*CC(=O)c1ccc(C(=S)N*)s1,1.14
*CC(=O)c1ccc(N*)cc1,1.05
*CC(=S)C(=O)N*,1.4
*CC(=S)C(=O)c1ccc(*)s1,0.684
*CC(=S)CC(*)=O,0.646
*CC(=S)CN*,0.261
*CC(=S)Cc1ccc(*)s1,0.173
*CC(=S)NC(*)=S,1.53
*CC(=S)NO*,1.16
*CC(=S)Nc1ccc(*)cc1,0.446
*CC(=S)OC(*)=S,0.633
*CC(=S)ON*,0.395
*CC(=S)Oc1ccc(*)s1,0.445
*CC(=S)c1ccc(-c2ccc(*)cc2)cc1,0.267
*CC(=S)c1ccc(-c2ccc(*)cc2)s1,0.28
*CC(=S)c1ccc(-c2ccc(*)s2)cc1,0.472
*CC(O*)C(F)(F)F,0.794
*CC*,0.0228
*CC1SSC(*)C1=O,0.818
*CCC(=O)O*,0.686
*CCC(=O)c1ccc(*)cc1,1.39
*CCC(=S)C(*)=O,1.07
*CCC(=S)c1ccc(*)cc1,0.231
*CCC(F)(F)C(*)(F)F,0.626
*CCC(O*)(C(F)(F)F)C(F)(F)F,0.617
*CCCC(*)=O,0.422
*CCCC(*)=S,0.167
*CCCCC(=O)OCCOC(*)=O,0.931
*CCCCCCC(=O)OCCOC(*)=O,0.822
*CCCCCCCCC(=O)O*,0.402
*CCCCCOC(*)=O,0.446
*CCCCCOC(=O)Nc1cc(NC(=O)O*)ccc1C,0.776
*CCCNC(=S)Nc1ccc(NC(=S)NCCC*)cc1,0.862
*CCCO*,0.265
*CCCSCC*,0.104
*CCCc1ccc(*)cc1,0.0751
*CCCc1ccc(*)s1,1.48
*CCNC(*)=S,1.02
*CCNC*,0.202
*CCNO*,0.44
*CCNc1ccc(*)s1,0.477
*CCO*,0.473
*CCOC(=O)c1ccc(C(=O)OCC*)cc1,0.546
*CCOCCOC(=O)Nc1cc(NC(=O)O*)ccc1C,0.731
*CCOc1ccc(*)cc1,0.257
*CCc1ccc(*)cc1,0.106
*CCc1ccc(C(*)=O)s1,0.859
*CCc1ccc(O*)s1,0.364
*CN*,0.301
*CNC(*)=O,1.14
*CNC(=O)c1ccc(*)cc1,0.851
*CNC(=O)c1ccc(*)s1,0.629
*CNC(=S)N*,1.4
*CNC(=S)c1ccc(*)cc1,0.452
*CNC(=S)c1ccc(*)s1,0.584
*CNCO*,0.727
*CNCc1ccc(*)cc1,0.209
*CNCc1ccc(*)s1,0.818
*CNON*,0.443
*CNc1ccc(-c2ccc(*)cc2)cc1,0.455
*CNc1ccc(-c2ccc(*)cc2)s1,0.417
*CNc1ccc(-c2ccc(*)s2)cc1,0.536
*CNc1ccc(-c2ccc(*)s2)s1,0.536
*CO*,0.858
*COC(=O)C(*)=S,1.11
*COC(=O)O*,1.0
*COC(=O)c1ccc(*)cc1,0.682
*COC(=O)c1ccc(C(=O)OC*)cc1,0.555
*COC(=S)C(*)=O,0.799
*COC(=S)N*,1.03
*COC(=S)O*,1.04
*COCC(*)=O,0.766
*COCC(*)=S,0.411
*CONO*,1.13
*CONc1ccc(*)s1,0.501
*COc1ccc(-c2ccc(*)cc2)cc1,0.309
*COc1ccc(-c2ccc(*)s2)s1,0.364
*COc1ccc(O*)cc1,0.596
*Cc1ccc(*)cc1,0.0951
*Cc1ccc(*)s1,0.182
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,0.0893
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,0.0979
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,0.15
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,0.11
*Cc1ccc(-c2ccc(C*)cc2)cc1,0.0743
*Cc1ccc(-c2ccc(C*)s2)cc1,0.103
*Cc1ccc(-c2ccc(O*)cc2)cc1,0.29
*Cc1ccc(C(=O)C(*)=S)cc1,0.441
*Cc1ccc(C(=O)O*)s1,0.751
*Cc1ccc(C(=O)c2ccc(*)s2)cc1,0.469
*Cc1ccc(C(=O)c2ccc(*)s2)s1,0.667
*Cc1ccc(C(=S)c2ccc(*)s2)s1,0.333
*Cc1ccc(CC(*)=S)cc1,0.218
*Cc1ccc(CO*)cc1,0.295
*Cc1ccc(Cc2ccc(*)s2)cc1,0.112
*Cc1ccc(NC(=S)Nc2ccc(NC(=S)Nc3ccc(*)cc3)cc2)cc1,0.693
*Cc1ccc(Nc2ccc(*)s2)s1,0.309
*Cc1ccc(Oc2ccc(*)s2)s1,0.257
*NC(*)=O,1.96
*NC(*)=S,0.978
*NC(=O)C(=S)C(*)=O,1.46
*NC(=O)Nc1ccc(*)cc1,1.02
*NC(=O)Nc1ccc(*)s1,0.897
*NC(=O)c1ccc(-c2ccc(*)cc2)cc1,0.555
*NC(=O)c1ccc(-c2ccc(*)s2)cc1,0.95
*NC(=S)C(=O)c1ccc(*)cc1,1.3
*NC(=S)Cc1ccc(*)s1,0.536
*NC(=S)NC(*)=O,1.58
*NC(=S)Nc1ccc(*)cc1,1.29
*NC(=S)Nc1ccc(*)s1,0.924
*NC(=S)c1ccc(-c2ccc(*)cc2)s1,0.692
*NC(=S)c1ccc(-c2ccc(*)s2)cc1,0.616
*NCC(=O)c1ccc(*)cc1,1.06
*NCC(=O)c1ccc(*)s1,1.34
*NCC(=S)c1ccc(*)cc1,0.964
*NCC(=S)c1ccc(*)s1,1.15
*NCCc1ccc(*)cc1,0.363
*NCNc1ccc(*)cc1,0.799
*NCNc1ccc(*)s1,0.753
*NOCc1ccc(*)cc1,0.476
*NONC(*)=O,1.09
*NONC(*)=S,1.8
*NOc1ccc(-c2ccc(*)cc2)cc1,0.476
*Nc1ccc(*)cc1,0.959
*Nc1ccc(*)s1,0.549
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,0.292
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,0.509
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,0.413
*Nc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,1.21
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,0.372
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,0.804
*Nc1ccc(-c2ccc(C(*)=O)s2)cc1,0.894
*Nc1ccc(C(*)=S)cc1,1.33
*Nc1ccc(C(=O)c2ccc(*)s2)cc1,1.32
*Nc1ccc(C(=S)c2ccc(*)cc2)s1,1.19
*Nc1ccc(C(=S)c2ccc(*)s2)s1,1.21
*Nc1ccc(Cc2ccc(*)cc2)cc1,0.356
*Nc1ccc(Cc2ccc(*)cc2)s1,0.396
*Nc1ccc(Cc2ccc(NC(*)=S)cc2)cc1,0.784
*Nc1ccc(Cc2ccc(NC(=S)Nc3ccc(NC(=S)Nc4ccc(Cc5ccc(NC(=S)Nc6ccc(NC(*)=S)cc6)cc5)cc4)cc3)cc2)cc1,0.686
*Nc1ccc(Nc2ccc(*)s2)cc1,1.04
*Nc1ccc(Oc2ccc(*)s2)s1,0.524
*OC(*)=O,1.96
*OC(=O)C(=S)c1ccc(*)s1,1.15
*OC(=O)Cc1ccc(*)s1,0.551
*OC(=O)Nc1ccc(*)cc1,1.2
*OC(=O)OC(*)=S,1.22
*OC(=O)Oc1ccc(*)cc1,0.823
*OC(=O)Oc1ccc(*)s1,0.765
*OC(=O)c1ccc(-c2ccc(*)cc2)cc1,0.516
*OC(=O)c1ccc(-c2ccc(*)s2)cc1,0.927
*OC(=O)c1ccc(-c2ccc(*)s2)s1,1.24
*OC(=O)c1ccc(C(*)=S)cc1,1.34
*OC(=S)C(*)=O,1.53
*OC(=S)C(=O)c1ccc(*)cc1,0.932
*OC(=S)NC(*)=O,1.74
*OC(=S)NC(*)=S,1.32
*OC(=S)Nc1ccc(*)s1,0.879
*OCC(=O)OCC(*)=O,0.907
*OCC(=O)c1ccc(*)cc1,0.681
*OCC(=S)c1ccc(*)cc1,0.529
*OCCC(*)=S,0.428
*OCNc1ccc(*)cc1,0.747
*OCNc1ccc(*)s1,0.768
*OCOc1ccc(*)s1,0.632
*OCc1ccc(-c2ccc(*)s2)cc1,0.338
*OCc1ccc(C(*)=S)s1,0.642
*OCc1ccc(Cc2ccc(C(*)=S)cc2)cc1,0.404
*ONC(=O)C(*)=S,1.31
*ONC(=S)C(*)=O,1.18
*ONC(=S)c1ccc(*)cc1,0.633
*ONCc1ccc(*)cc1,0.294
*ONCc1ccc(*)s1,0.38
*ONOC(*)=O,1.2
*ONOC(*)=S,1.02
*ONOc1ccc(*)cc1,0.64
*ONc1ccc(C(*)=O)cc1,1.15
*O[C@@H]1[C@@H](O)[C@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](O[C@@H]3[C@@H](O)[C@H](O)[C@@H](O[C@@H]4[C@@H](O)[C@H](O)[C@@H](*)O[C@H]4CO)O[C@H]3CO)O[C@H]2CO)O[C@H]1CO,0.933
*Oc1ccc(*)cc1,0.4445
*Oc1ccc(*)s1,0.458
*Oc1ccc(-c2ccc(*)s2)cc1,0.371
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,0.245
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,0.499
*Oc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,0.525
*Oc1ccc(-c2ccc(C(*)=S)s2)cc1,0.586
*Oc1ccc(C(=O)c2ccc(*)s2)s1,1.35
*Oc1ccc(C(=S)c2ccc(*)cc2)s1,0.534
*Oc1ccc(C(=S)c2ccc(*)s2)s1,0.662
*Oc1ccc(CC(*)=S)cc1,0.2765
*Oc1ccc(Cc2ccc(*)cc2)cc1,0.229
*Oc1ccc(Cc2ccc(*)cc2)s1,0.251
*Oc1ccc(NC(*)=S)cc1,0.686
*Oc1ccc(NC(=S)Nc2ccc(NC(=S)Nc3ccc(*)cc3)cc2)cc1,0.822
*Oc1ccc(Nc2ccc(*)cc2)cc1,0.643
*Oc1ccc(Nc2ccc(*)s2)cc1,0.509
*Oc1ccc(OC(*)=S)cc1,0.555
*Oc1ccc(OC(*)=S)s1,0.733
*Oc1ccc(Oc2ccc(*)s2)cc1,0.377
*SC(=S)c1ccc(C(=S)OC(=S)c2ccc(C(*)=O)cc2)cc1,0.762
*Sc1ccc(*)cc1,0.236
*c1ccc(*)cc1,0.0791
*c1ccc(-c2ccc(*)s2)cc1,0.1265
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)cc2)cc1,0.11
*c1ccc(-c2ccc(Cc3ccc(*)s3)s2)cc1,0.115
*c1ccc(C(=S)c2ccc(-c3ccc(*)cc3)s2)cc1,0.403
*c1ccc(C2CC(*)SS2)s1,0.42
*c1ccc(OCc2ccc(*)s2)cc1,0.297
*c1ccc(Oc2ccc(*)s2)s1,0.452
*c1ccc(Oc2ccc(-c3ccc(*)cc3)s2)cc1,0.387
*c1ccc2nc(*)oc2c1,0.317
*c1ccc2nc(*)sc2c1,0.253
*c1cccc(*)n1,0.481
*c1nc2cc3oc(*)nc3cc2o1,0.267
